text_akhir,label
bangga pmm terima kasih banyak nadiem,POSITIVE
kehilangan terbesar,POSITIVE
bawa saya kembbalik,NEUTRAL
batch,NEUTRAL
selamat tinggal bekas luka manisku,POSITIVE
hah,NEUTRAL
bersyukur pmm,POSITIVE
terima kasih kesempatannya saya mengalami belajar papua,POSITIVE
senang pmm,POSITIVE
pmm berarti beranak,NEGATIVE
kebijakan ojol gagal contoh pmmbanyak gamonin,NEUTRAL
program sebagus hapus,NEUTRAL
ngincar semester pmm hapus,NEUTRAL
terbukti katakata bertukar bermakna,NEUTRAL
pengen banget pmm kuliah tertarikkk,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
kampus mengajar,NEUTRAL
nadiem mengerti mahasiswa terima kasih program mantul habis gamon,POSITIVE
hilan harapan maba,NEUTRAL
bangga pmm sisa program sebagus lanjutkanmahasiswai mengharapkan pmm jalur daerah belajar berkaya huhhh huhhh huhhh huhhh huhhh huhhh huhhh,POSITIVE
pengen merasa pmm hapus,NEUTRAL
angkatan persiapan program pmm hapus,NEUTRAL
yahhhhh berharap banget jaman cari pmm semester mencoba entar disemester dihapi,NEUTRAL
orang program nadiem menyusahkan gua program terbaik mahasiswa program sosialisasi gebrakan,NEUTRAL
program kayaknya kampus merdeka hapus beruntung kampus mengajar,NEUTRAL
jujur ​​sedyeh banget,NEUTRAL
ngincer jaga semester pmm hapus,NEUTRAL
putus harapan,NEUTRAL
allah menunggu pmm hapus,NEUTRAL
niat mencoba,NEUTRAL
terima kasih kenangan pmm uny gantari wirasana,POSITIVE
pmm online penuh,POSITIVE
pmm gunannaa cuman pengen liburan kota pngetahuan bawa tahap evaluasinya,NEUTRAL
kuliah cari semester dihapi,NEUTRAL
lihat danau toba pmm,NEUTRAL
angkatan pmm,NEUTRAL
pmm jalan r bromo kawah ijen,NEUTRAL
pmm,NEUTRAL
alumni pmm bersyukur banget merasa pmm,NEUTRAL
torguu torggu tunggutunggu nangisbanget,NEUTRAL
program ruginya berani mencoba penyesalan tenjak mencoba,NEUTRAL
bersyukur pmm menyesal pengen teman angkatan samaaa terima kasih pmm,NEUTRAL
cuman program harapan merasa kuliah jawa,NEUTRAL
kayak iisma pmm hapus untung pmm lolos warmadewa bali sesuai tagline bertukar bermakna memori ikuti ikuti ikuti bertukar bermakna bagiata ikuti ikuti ikuti ikuti ikuti bermakna,NEUTRAL
ngincar semester sangan banget,NEUTRAL
banyak bilang pmm program bermanfaat misurut gue pribadi bermanfaat banget gue mempelajari antropologi gue meriteraksi teman sabangkaikukukukukukukukukukukukukukukukuke membangun konekssi perteman daerah diburn pmm meningkatkan nilai toleransi nasionalisme moral berkurang anak indonesia gue bangga dar program,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
bangga banget pmm super duper seru,POSITIVE
bangga alumni pmm,NEUTRAL
pmm mahasiswi kupukupu ketumu temang banyak banget bawa makna sabang merauke,NEUTRAL
alumni pmm hadir,NEUTRAL
salam alumi pmm,NEUTRAL
impian bingittt mama bilat pmm hahaha sedih,POSITIVE
program terbaik ikuti kuliah pmw pkmpimnas kkn kebangsaan pmm juaranya penuh kenangan cerita bosan diceritakan,NEUTRAL
ngincer,NEUTRAL
angkatan pmm pmm mandiri kampus seru jalanjalan gratis,NEUTRAL
keluarga pmm pengalaman terbaik keustusan terbesar ambil benaran menyesal ambil keutusan,NEUTRAL
salah alumni pmm program ikuti nyesal gamon,NEUTRAL
beruntungnya alumni batch,NEUTRAL
rl bertukar bermakna,NEUTRAL
pengen,NEUTRAL
saya coba pmm hapus,NEUTRAL
terima kasih cerita indah kuliah,NEUTRAL
plissssss saya ikutan resmi hapus tolongggg,NEUTRAL
kebangsgan merasakan indahnya masamasa pmm barat semangat yuk perodaapin magang berdampak,NEUTRAL
huahuaaa,NEUTRAL
sedyeh banget caaaa pena pmm uny,NEUTRAL
bangga perjadi pmm cung alumni pmm,NEUTRAL
ututu tayangku,NEUTRAL
ruga bangga banget,NEUTRAL
dirhadirrrr,NEUTRAL
tidur kau,NEUTRAL
nyata bertukar bermakna,POSITIVE
program memory core paus indah dar program banyak ilmu belajar budaya pengalaman kontribusi menyenigan,NEUTRAL
saya,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
nyata,POSITIVE
setahun gamonnya bendung,NEUTRAL
,NEUTRAL
pmm uph hadir,NEUTRAL
bubar,NEUTRAL
sedeh banget anjing,NEUTRAL
gue ikut diapus,NEUTRAL
aa untung ikot pmm ust jogja,NEUTRAL
huuu pmm angktn,NEUTRAL
iisma dihapi,NEUTRAL
elaaaah membanyaki sorotan igeh banyak kegiatan diapus,NEUTRAL
angkatan covid program terbagi sangan kehidupan break,NEUTRAL
belumm masukj kuliahh,NEUTRAL
pmm limit edition,NEGATIVE
hentikan abang,NEUTRAL
alumni pmm batch online bangga angkatan peramaa program,NEUTRAL
beruntung masya allah,NEUTRAL
seru,NEUTRAL
yaallah sedehh senang pmm angakatan,NEUTRAL
,NEUTRAL
hapus orang,NEUTRAL
kemarin,NEUTRAL
iya hapus,NEUTRAL
dihps,NEUTRAL
dampaknya lolos juta anak golongan,NEUTRAL
kebanyakan aji mumpung numpang jalan² ln kontribusinya ghaib,NEUTRAL
output buang duit orang indonesia suap buang pertukaran siswa ln banyak iisma isiny jalan doang buka jastip,NEUTRAL
lolos orang privilege berbicara bahasa inggris les toeflielts,NEUTRAL
kampus mengajar jagi wee,NEUTRAL
