,product_id,product_name,category,stock_quantity,warehouse_location,stock_status,inventory_value,date_updated
0,PRD0000,Produk_0,Makanan & Minuman,101,Gudang A,Tersedia,2631039.51,2025-05-15
1,PRD0001,Produk_1,Kesehatan,353,Gudang C,Tersedia,564931.65,2025-05-13
2,PRD0002,Produk_2,Peralatan Rumah Tangga,11,Gudang A,Tersedia,4342164.78,2025-05-04
3,PRD0003,Produk_3,Kesehatan,274,Gudang C,Habis,1493834.04,2025-05-02
4,PRD0004,Produk_4,Kesehatan,100,Gudang C,Tersedia,821064.56,2025-05-02
5,PRD0005,Produk_5,Pakaian,43,Gudang A,Habis,3381350.33,2025-05-09
6,PRD0006,Produk_6,Peralatan Rumah Tangga,442,Gudang C,Tersedia,200050.64,2025-05-01
7,PRD0007,Produk_7,Peralatan Rumah Tangga,304,Gudang A,Tersedia,3103643.14,2025-05-12
8,PRD0008,Produk_8,Peralatan Rumah Tangga,444,Gudang B,Segera Habis,3494010.17,2025-05-07
9,PRD0009,Produk_9,Kesehatan,16,Gudang B,Tersedia,1082433.49,2025-05-11
10,PRD0010,Produk_10,Makanan & Minuman,329,Gudang B,Tersedia,219400.73,2025-05-14
11,PRD0011,Produk_11,Peralatan Rumah Tangga,56,Gudang B,Tersedia,1824590.34,2025-05-03
12,PRD0012,Produk_12,Otomotif,310,Gudang C,Tersedia,501985.21,2025-05-03
13,PRD0013,Produk_13,Kesehatan,496,Gudang A,Tersedia,591224.47,2025-05-02
14,PRD0014,Produk_14,Pakaian,302,Gudang A,Tersedia,1278763.54,2025-05-14
15,PRD0015,Produk_15,Makanan & Minuman,11,Gudang A,Tersedia,1484384.94,2025-05-10
16,PRD0016,Produk_16,Otomotif,317,Gudang B,Segera Habis,2654552.0,2025-05-06
17,PRD0017,Produk_17,Otomotif,79,Gudang B,Tersedia,3395175.51,2025-05-13
18,PRD0018,Produk_18,Pakaian,215,Gudang A,Tersedia,2967926.99,2025-05-10
19,PRD0019,Produk_19,Makanan & Minuman,338,Gudang B,Tersedia,750318.08,2025-05-02
20,PRD0020,Produk_20,Kesehatan,263,Gudang A,Segera Habis,868709.3,2025-05-10
21,PRD0021,Produk_21,Elektronik,478,Gudang A,Tersedia,4395058.56,2025-05-15
22,PRD0022,Produk_22,Makanan & Minuman,148,Gudang A,Tersedia,2796178.05,2025-05-04
23,PRD0023,Produk_23,Pakaian,80,Gudang A,Tersedia,4350989.79,2025-05-10
24,PRD0024,Produk_24,Otomotif,214,Gudang A,Tersedia,1864017.09,2025-05-09
