transaction_id,transaction_date,transaction_time,customer_id,customer_age,customer_gender,product_id,product_name,category,subcategory,price,quantity,discount,total_amount,payment_method,store_location,rating,is_returned,loyalty_member
TXN00000,2022-12-20,09:50:22,eec8cfa0,59,Male,PROD2091,Triple-buffered regional structure,Home & Kitchen,Furniture,154.77,3,0.0,464.31,Bank Transfer,"Fullerchester, Pennsylvania",2.1,False,True
TXN00001,2022-06-26,09:50:22,9e9c2624,50,Male,PROD6168,Multi-lateral fault-tolerant artificial intelligence,Sports,Fitness,27.23,1,0.0,27.23,E-Wallet,"East Michellebury, Vermont",1.9,False,False
TXN00002,2023-11-20,09:50:22,c2136ec6,20,Male,PROD9673,Intuitive zero-defect installation,Clothing,Women,69.43,2,0.0,138.86,E-Wallet,"West Wendybury, South Carolina",,False,False
TXN00003,2023-09-19,09:50:22,d78501fa,50,Female,PROD2015,Ergonomic actuating contingency,Home & Kitchen,Furniture,226.61,3,0.0,679.83,Cash,"Johnsonburgh, Oklahoma",,False,False
TXN00004,2023-08-06,09:50:22,cb9b2bb8,23,Female,PROD9531,Versatile impactful focus group,Electronics,Cameras,453.17,3,0.0,1359.51,Cash,"Sheltonbury, Louisiana",,False,False
TXN00005,2023-02-15,09:50:22,2a1ef73a,46,Male,PROD4387,Reverse-engineered reciprocal algorithm,Grocery,Dairy,25.32,2,0.0,50.64,E-Wallet,"South Krista, South Carolina",4.9,False,False
TXN00006,2022-12-01,09:50:22,c76f4c06,67,Male,PROD3589,Re-contextualized eco-centric secured line,Grocery,Beverages,61.58,3,0.0,184.74,Bank Transfer,"Youngfort, Nebraska",4.6,False,False
TXN00007,2022-10-31,09:50:22,ae67eb96,44,Female,PROD5970,Multi-tiered didactic open architecture,Clothing,Women,73.02,3,0.0,219.06,Debit Card,"Shannonbury, Hawaii",3.9,False,False
TXN00008,2024-09-16,09:50:22,709e36d1,56,Male,PROD4783,Enhanced systemic instruction set,Beauty,Makeup,20.61,2,0.1,37.1,Bank Transfer,"West Paulstad, Kentucky",,False,False
TXN00009,2022-07-10,09:50:22,1a701637,29,Female,PROD9051,Organic secondary array,Books,Non-Fiction,40.85,5,0.0,204.25,E-Wallet,"Lake Danielborough, Georgia",3.8,False,True
TXN00010,2022-07-06,09:50:22,d32753af,32,Male,PROD4351,Managed zero tolerance application,Grocery,Snacks,20.73,4,0.0,82.92,Credit Card,"Torresstad, Washington",4.7,False,False
TXN00011,2022-11-13,09:50:22,151a7569,43,Male,PROD7232,Intuitive explicit open architecture,Books,Cookbooks,20.69,4,0.0,82.76,E-Wallet,"Hohaven, Nebraska",4.6,False,False
TXN00012,2023-07-27,09:50:22,6f385255,47,Male,PROD5025,Open-architected impactful adapter,Health,Wellness,34.84,5,0.0,174.2,Credit Card,"Hensonshire, Wisconsin",3.1,False,False
TXN00013,2023-08-25,09:50:22,d9169417,43,Female,PROD5684,Organic client-server framework,Electronics,Cameras,117.34,4,0.0,469.36,Credit Card,"North Tamaraview, Kansas",1.8,False,False
TXN00014,2025-03-05,09:50:22,9f5c3e1c,23,Male,PROD3945,Re-engineered responsive matrix,Health,Vitamins,1.99,5,0.0,9.95,E-Wallet,"Lake Scottshire, Louisiana",4.3,False,False
TXN00015,2022-06-29,09:50:22,21434ddc,55,Male,PROD8449,Profit-focused tertiary architecture,Automotive,Accessories,18.75,4,0.0,75.0,E-Wallet,"Laurenmouth, Iowa",1.1,False,False
TXN00016,2023-06-17,09:50:22,0a5e2f62,64,Male,PROD7204,Profound non-volatile structure,Home & Kitchen,Furniture,49.1,1,0.16,41.24,Cash,"Lake Dennisview, Tennessee",1.3,False,True
TXN00017,2024-09-11,09:50:22,86ad8b6b,29,Male,PROD7874,Quality-focused logistical matrices,Home & Kitchen,Cookware,142.0,5,0.0,710.0,Debit Card,"Danaburgh, Pennsylvania",,False,False
TXN00018,2023-07-31,09:50:22,202e24fc,18,Female,PROD9153,Right-sized directional matrix,Books,Children,11.84,2,0.08,21.79,Debit Card,"Richardland, Minnesota",1.0,False,False
TXN00019,2024-11-10,09:50:22,238f8788,44,Female,PROD2300,Networked systemic productivity,Electronics,Cameras,217.54,4,0.0,870.16,Bank Transfer,"Kathleenhaven, Tennessee",3.6,False,True
TXN00020,2023-11-26,09:50:22,0d09fd1d,21,Female,PROD1601,Vision-oriented leadingedge parallelism,Automotive,Parts,59.31,5,0.0,296.55,Debit Card,"Port Holly, Massachusetts",,False,True
TXN00021,2022-05-19,09:50:22,6e0337f5,29,Male,PROD5659,Operative holistic analyzer,Health,Wellness,25.48,3,0.0,76.44,Credit Card,"Amandaville, Iowa",1.2,False,False
TXN00022,2023-03-28,09:50:22,6c2c58f4,23,Female,PROD6289,Extended neutral system engine,Health,Wellness,31.35,5,0.16,131.67,Bank Transfer,"Stephaniefurt, Florida",,False,False
TXN00023,2024-09-17,09:50:22,c1cb6e42,39,Female,PROD9595,Polarized well-modulated hub,Clothing,Shoes,7.26,5,0.17,30.13,Credit Card,"Andersonfurt, New Hampshire",3.8,False,True
TXN00024,2024-04-01,09:50:22,14a83f88,64,Female,PROD7996,Optimized dedicated concept,Electronics,Smartphones,391.12,5,0.0,1955.6,Bank Transfer,"Hoffmanville, Indiana",4.9,False,False
TXN00025,2023-11-26,09:50:22,fa4ef5bd,51,Female,PROD9069,Digitized systematic portal,Automotive,Electronics,32.22,5,0.0,161.1,Debit Card,"East Tara, New York",3.5,False,False
TXN00026,2023-03-20,09:50:22,c3843905,69,Female,PROD7783,Enhanced optimal ability,Grocery,Canned Goods,6.98,2,0.06,13.12,Credit Card,"Davidmouth, North Carolina",,True,False
TXN00027,2023-07-20,09:50:22,177288f3,37,Female,PROD1100,Customer-focused asynchronous knowledgebase,Grocery,Snacks,37.51,2,0.0,75.02,Cash,"Lake Lisahaven, New Jersey",4.2,False,False
TXN00028,2024-03-25,09:50:22,9b8c77aa,61,Female,PROD8774,Extended bottom-line application,Toys,Puzzles,17.99,5,0.0,89.95,Debit Card,"Michelleview, Alabama",1.8,False,False
TXN00029,2022-12-01,09:50:22,2570ef2c,68,Female,PROD1917,Profound 3rdgeneration firmware,Books,Non-Fiction,24.17,4,0.0,96.68,Bank Transfer,"Donaldport, Iowa",4.6,False,True
TXN00030,2022-11-11,09:50:22,7355fac8,22,Male,PROD5595,Self-enabling bifurcated firmware,Sports,Cycling,17.97,5,0.19,72.78,Cash,"Kelliland, Arizona",4.2,False,False
TXN00031,2024-06-22,09:50:22,d510a004,68,Female,PROD6152,Cloned cohesive encoding,Toys,Puzzles,67.05,2,0.0,134.1,E-Wallet,"South Anthony, South Carolina",,False,True
TXN00032,2022-11-20,09:50:22,80bcbad5,29,Male,PROD7131,Customizable multimedia synergy,Clothing,Shoes,49.6,2,0.0,99.2,Cash,"Lake Stephanietown, Connecticut",1.9,False,False
TXN00033,2024-05-10,09:50:22,ee1b8a06,48,Female,PROD6363,Programmable empowering knowledge user,Clothing,Shoes,18.27,5,0.17,75.82,Bank Transfer,"Knappport, Georgia",1.6,False,False
TXN00034,2024-04-09,09:50:22,843472eb,18,Female,PROD1721,Pre-emptive even-keeled Graphic Interface,Automotive,Accessories,46.45,2,0.0,92.9,E-Wallet,"Kevinburgh, Mississippi",,False,False
TXN00035,2023-10-29,09:50:22,21a2fb28,19,Female,PROD4438,Synergistic mission-critical protocol,Clothing,Kids,13.37,4,0.0,53.48,Credit Card,"Williamschester, Oregon",3.1,False,True
TXN00036,2022-08-02,09:50:22,7c86db09,35,Male,PROD1249,Implemented explicit throughput,Beauty,Tools,34.18,3,0.0,102.54,Credit Card,"New Christina, Georgia",,False,False
TXN00037,2024-12-01,09:50:22,9ba67b44,54,Male,PROD3806,Customer-focused homogeneous info-mediaries,Clothing,Women,1.99,5,0.0,9.95,Cash,"Richmondbury, Massachusetts",2.1,False,False
TXN00038,2023-01-16,09:50:22,0cd8c8a2,23,Female,PROD7421,Secured coherent model,Sports,Cycling,3.44,4,0.06,12.93,Credit Card,"Lake Melvin, Wisconsin",,False,False
TXN00039,2024-06-19,09:50:22,91901bc4,66,Female,PROD3159,Reverse-engineered asymmetric installation,Health,First Aid,33.94,5,0.0,169.7,Cash,"Nelsonberg, Vermont",,False,False
TXN00040,2022-10-14,09:50:22,e152e264,27,Female,PROD6954,Right-sized attitude-oriented definition,Books,Fiction,44.77,4,0.0,179.08,E-Wallet,"Michaelland, Massachusetts",,False,False
TXN00041,2023-12-27,09:50:22,49081b1f,48,Female,PROD3798,Inverse content-based system engine,Sports,Team Sports,33.43,4,0.0,133.72,Credit Card,"Laurenview, Vermont",2.9,False,False
TXN00042,2024-05-15,09:50:22,05a84482,68,Female,PROD9728,User-centric global knowledge user,Health,Supplements,27.69,5,0.25,103.84,Credit Card,"Jessicaview, Nebraska",,False,False
TXN00043,2023-06-03,09:50:22,b46a5b8a,31,Female,PROD8132,Grass-roots transitional array,Grocery,Bakery,23.98,2,0.0,47.96,E-Wallet,"Port Joseberg, Oregon",2.5,False,False
TXN00044,2022-09-25,09:50:22,73b7010f,55,Female,PROD6330,Synergistic reciprocal methodology,Grocery,Beverages,1.99,1,0.0,1.99,Bank Transfer,"South Michael, Louisiana",,False,False
TXN00045,2022-08-07,09:50:22,f03e2eb0,38,Female,PROD2007,Devolved holistic flexibility,Home & Kitchen,Cookware,69.61,4,0.08,256.16,Bank Transfer,"Christophershire, Rhode Island",4.1,False,False
TXN00046,2023-08-15,09:50:22,60ac217c,57,Female,PROD4205,Total 24hour monitoring,Health,Vitamins,20.79,2,0.0,41.58,E-Wallet,"Port Philipshire, Nevada",3.1,False,False
TXN00047,2023-12-19,09:50:22,89fe4e6f,23,Male,PROD9362,Public-key tangible database,Beauty,Tools,51.14,3,0.0,153.42,E-Wallet,"South Juliaton, Delaware",3.9,False,True
TXN00048,2022-10-16,09:50:22,dafa2396,25,Female,PROD1510,Optional bandwidth-monitored moderator,Beauty,Skincare,36.87,3,0.0,110.61,Credit Card,"Mooremouth, Louisiana",1.0,False,False
TXN00049,2023-08-25,09:50:22,e8208bbe,48,Male,PROD4083,Optimized solution-oriented Local Area Network,Toys,Games,1.99,4,0.0,7.96,E-Wallet,"Lowechester, Mississippi",,False,False
TXN00050,2022-11-28,09:50:22,fd738502,59,Male,PROD3359,Progressive intermediate superstructure,Sports,Yoga,36.48,2,0.0,72.96,Debit Card,"New Derekfurt, Montana",,False,False
TXN00051,2024-06-22,09:50:22,5da5e614,57,Male,PROD8444,Future-proofed foreground process improvement,Toys,Dolls,22.3,1,0.25,16.73,E-Wallet,"East Victorside, Vermont",4.6,False,False
TXN00052,2023-11-26,09:50:22,bdd84252,64,Male,PROD9220,Reduced discrete superstructure,Books,Educational,16.46,3,0.0,49.38,E-Wallet,"Ortizberg, Kansas",3.4,False,False
TXN00053,2024-11-19,09:50:22,5e16095e,25,Female,PROD2311,Stand-alone neutral project,Health,Medical,42.23,1,0.0,42.23,Bank Transfer,"Jerrychester, Utah",2.9,False,False
TXN00054,2024-05-22,09:50:22,755c98d6,61,Female,PROD1864,User-friendly mobile process improvement,Beauty,Fragrances,50.62,5,0.27,184.76,Credit Card,"Allenland, Vermont",,False,False
TXN00055,2023-04-04,09:50:22,44d20a03,44,Female,PROD5827,Function-based system-worthy architecture,Electronics,Headphones,686.26,4,0.0,2745.04,E-Wallet,"West Kathleenstad, Maine",3.3,False,True
TXN00056,2024-06-02,09:50:22,73551d2a,60,Female,PROD1447,Multi-layered asynchronous superstructure,Health,Medical,13.22,5,0.0,66.1,E-Wallet,"Chentown, Hawaii",,False,True
TXN00057,2024-05-02,09:50:22,9230e233,18,Male,PROD3860,Versatile radical installation,Automotive,Tools,23.82,3,0.0,71.46,Bank Transfer,"West Andrewland, Michigan",2.1,False,False
TXN00058,2023-07-09,09:50:22,bfc233e8,39,Male,PROD3376,Down-sized modular Graphic Interface,Books,Children,36.63,2,0.0,73.26,Debit Card,"Lake Jillstad, California",,False,False
TXN00059,2023-11-03,09:50:22,5148afe3,31,Female,PROD1890,Future-proofed demand-driven productivity,Books,Educational,49.51,4,0.0,198.04,E-Wallet,"Chavezchester, North Carolina",,False,False
TXN00060,2022-09-29,09:50:22,820e879e,42,Female,PROD8775,Organized analyzing portal,Clothing,Men,35.62,2,0.0,71.24,E-Wallet,"Solomontown, Nebraska",,False,False
TXN00061,2023-04-21,09:50:22,7ed5f870,51,Male,PROD2595,Right-sized uniform Internet solution,Toys,Action Figures,26.29,3,0.0,78.87,E-Wallet,"South Debbieburgh, Hawaii",2.5,False,False
TXN00062,2025-05-03,09:50:22,27a8e0e7,59,Female,PROD8554,Stand-alone human-resource task-force,Toys,Puzzles,7.87,3,0.0,23.61,Cash,"Rachelfurt, Kansas",4.2,False,False
TXN00063,2023-09-19,09:50:22,8b7c2be9,61,Male,PROD2113,Mandatory zero tolerance frame,Health,Supplements,6.08,5,0.0,30.4,Debit Card,"New Michellefurt, Oklahoma",,True,True
